"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"init-1","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.878","1","EXECUTED","8:c05eb3e9a5708f34b14020ce1af33499","createTable tableName=pbl_consulta","","","4.3.3","()","","9635569576"
"init-2","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.894","2","EXECUTED","8:1193b75b3fdf47cdd652101032f7d685","createTable tableName=pbl_entitat","","","4.3.3","()","","9635569576"
"init-3","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.897","3","EXECUTED","8:7f0cbf2256dbbbd1045e463687af78c7","createTable tableName=pbl_entitat_servei","","","4.3.3","()","","9635569576"
"init-4","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.901","4","EXECUTED","8:182d9201293b1ffb7bc191f5c549b539","createTable tableName=pbl_entitat_usuari","","","4.3.3","()","","9635569576"
"init-5","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.904","5","EXECUTED","8:aaf4169fa81fd38f0600378c0d3ee636","createTable tableName=pbl_organ_gestor","","","4.3.3","()","","9635569576"
"init-6","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.911","6","EXECUTED","8:26ca271cb856f43dcea59e49f983269b","createTable tableName=pbl_procediment","","","4.3.3","()","","9635569576"
"init-7","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.915","7","EXECUTED","8:909a5d12bd7f104e449bd09cf5a2b552","createTable tableName=pbl_procediment_servei","","","4.3.3","()","","9635569576"
"init-8","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.919","8","EXECUTED","8:d91e3f2f529a3691fe147b0187711de7","createTable tableName=pbl_servei_bus","","","4.3.3","()","","9635569576"
"init-9","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.924","9","EXECUTED","8:db1460907b678396ea40a37e975ad030","createTable tableName=pbl_servei_camp","","","4.3.3","()","","9635569576"
"init-10","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.929","10","EXECUTED","8:8e731a1867471e511dec457fa0f5a97e","createTable tableName=pbl_servei_camp_grup","","","4.3.3","()","","9635569576"
"init-11","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.935","11","EXECUTED","8:17981f6fddcb3cb8954bf6a100a479dc","createTable tableName=pbl_servei_config","","","4.3.3","()","","9635569576"
"init-12","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.939","12","EXECUTED","8:88b4726d2eec5de4fee2e8208f7b7fab","createTable tableName=pbl_servei_justif_camp","","","4.3.3","()","","9635569576"
"init-13","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.943","13","EXECUTED","8:1aadabb3ae4400a6b40fcca27b2d9134","createTable tableName=pbl_usuari","","","4.3.3","()","","9635569576"
"init-14","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.948","14","EXECUTED","8:2980da8a549f20a6a5a72cc2a31db6fc","createTable tableName=acl_sid","","","4.3.3","()","","9635569576"
"init-15","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.954","15","EXECUTED","8:43645ff01551c738055c3722e8ca267d","createTable tableName=acl_class","","","4.3.3","()","","9635569576"
"init-16","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.959","16","EXECUTED","8:b2aa88d1ab0b4534ae3436875e9d4f15","createTable tableName=acl_object_identity","","","4.3.3","()","","9635569576"
"init-17","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.964","17","EXECUTED","8:91cdb3d4374733d394c40dc619a8efca","createTable tableName=acl_entry","","","4.3.3","()","","9635569576"
"init-18","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.97","18","EXECUTED","8:b34bb783d15fd6bb08ab173b5901900f","createTable tableName=core_cache_certificados","","","4.3.3","()","","9635569576"
"init-19","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.975","19","EXECUTED","8:ac33174bae197b1aeabf34e66933f2a4","createTable tableName=core_clave_privada","","","4.3.3","()","","9635569576"
"init-19a","limit (generated)","db/changelog/initial_schema_table.yaml","2021-04-28T20:46:09.989","20","EXECUTED","8:76bd237927e563656b9742033c34bc90","sql","","","4.3.3","caib","","9635569576"
